Título,Subtítulo,Descrição,Author,Link
Impeachment da Dilma,,"Sobre a abertura do processo de impeachmet da presidente Dilma Rousseff, você foi: ",,
2a DENÚNCIA CONTRA TEMER,,"Sobre PARAR as investigações contra Michel Temer e permitir que ele NãO seja investigado por obstrução de justiça e organização criminosa, você foi: ",,
PEC DO TETO,,"Sobre a PEC do Teto, que estabeleceu um limite anual para as despesas com os serviços públicos nos próximos 20 anos você foi:",,
REFORMA TRABALHISTA,,"Sobre a reforma trabalhista, você foi:",,
REFORMA DA PREVIDÊNCIA,,"Sobre a reforma da previdência, você foi",,
CRIAÇÃO DO FUNDO PÚBLICO DE CAMPANHA,,"Sobre a criação de um fundo de financiamento de campanhas políticas com dinheiro público, você foi:",,
LEI DA TERCEIRIZAÇÃO,,"Sobre a terceirização da mão de obra na atividade principal das empresas, você foi:",,
FINANCIAMENTO EMPRESARIAL DE CAMPANHA,,Sobre legalizar o financiamento empresarial de campanhas políticas você foi:,,
FIM DA REELEIÇÃO,,"Sobre o FIM da reeleição para cargos executivos (presidente, governador e prefeito) você foi:",,
PRÉ-SAL SEM A PETROBRÁS,,"Sobre permitir que empresas multinacionais explorem petróleo no Brasil, você foi:",,
